service_date,gtfs_route_id,gtfs_route_long_name,peak_offpeak_ind,otp_numerator,otp_denominator,cancelled_numerator,ObjectId,otp_ratio,service_time
2024-12-20,CR-Providence,Providence/Stoughton Line,OFF_PEAK,17,25,0,10216,0.68,05:00:00
2024-12-20,CR-Worcester,Framingham/Worcester Line,OFF_PEAK,21,30,1,10217,0.7,05:00:00
2024-12-20,CR-Middleborough,Middleborough/Lakeville Line,OFF_PEAK,10,22,1,10218,0.45,05:00:00
2024-12-20,CR-Providence,Providence/Stoughton Line,OFF_PEAK,26,32,1,10219,0.81,05:00:00
2024-12-20,CR-Needham,Needham Line,OFF_PEAK,19,26,0,10312,0.73,05:00:00
2024-12-20,CR-Fairmount,Fairmount Line,OFF_PEAK,29,43,4,10313,0.67,05:00:00
2024-12-20,CR-Middleborough,Middleborough/Lakeville Line,PEAK,4,6,0,10377,0.67,05:00:00
2024-12-20,CR-Providence,Providence/Stoughton Line,PEAK,7,7,0,10378,1.0,05:00:00
2024-12-20,CR-Providence,Providence/Stoughton Line,PEAK,8,10,0,10379,0.8,05:00:00
2024-12-20,CR-Franklin,Franklin Line,PEAK,4,8,1,10399,0.5,05:00:00
2024-12-20,CR-Fairmount,Fairmount Line,PEAK,10,14,2,10400,0.71,05:00:00
2024-12-18,CR-Newburyport,Newburyport/Rockport Line,PEAK,6,6,0,10428,1.0,05:00:00
2024-12-18,CR-Newburyport,Newburyport/Rockport Line,PEAK,8,8,0,10429,1.0,05:00:00
2024-12-19,CR-Providence,Providence/Stoughton Line,OFF_PEAK,21,25,0,10471,0.84,05:00:00
2024-12-19,CR-Providence,Providence/Stoughton Line,OFF_PEAK,32,32,0,10472,1.0,05:00:00
2024-12-18,CR-Haverhill,Haverhill Line,PEAK,12,12,0,10499,1.0,05:00:00
2024-12-19,CR-Kingston,Kingston/Plymouth Line,OFF_PEAK,16,18,0,10501,0.89,05:00:00
2024-12-18,CR-Kingston,Kingston/Plymouth Line,PEAK,8,8,0,10507,1.0,05:00:00
2024-12-18,CR-Fitchburg,Fitchburg Line,OFF_PEAK,26,29,0,10517,0.9,05:00:00
2024-12-18,CR-Worcester,Framingham/Worcester Line,OFF_PEAK,28,30,0,10519,0.93,05:00:00
2024-12-18,CR-Franklin,Franklin Line,OFF_PEAK,15,18,0,10521,0.83,05:00:00
2024-12-18,CR-Greenbush,Greenbush Line,OFF_PEAK,18,20,0,10523,0.9,05:00:00
2024-12-18,CR-Haverhill,Haverhill Line,OFF_PEAK,31,31,0,10525,1.0,05:00:00
2024-12-18,CR-Kingston,Kingston/Plymouth Line,OFF_PEAK,14,18,0,10527,0.78,05:00:00
2024-12-18,CR-Lowell,Lowell Line,OFF_PEAK,26,26,0,10529,1.0,05:00:00
2024-12-18,CR-Middleborough,Middleborough/Lakeville Line,OFF_PEAK,15,22,0,10532,0.68,05:00:00
2024-12-19,CR-Middleborough,Middleborough/Lakeville Line,OFF_PEAK,21,22,0,10533,0.95,05:00:00
2024-12-18,CR-Needham,Needham Line,OFF_PEAK,23,26,0,10534,0.88,05:00:00
2024-12-19,CR-Needham,Needham Line,OFF_PEAK,23,26,0,10535,0.88,05:00:00
2024-12-18,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,20,22,0,10536,0.91,05:00:00
2024-12-19,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,22,22,0,10537,1.0,05:00:00
2024-12-18,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,22,23,0,10538,0.96,05:00:00
2024-12-19,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,22,23,0,10539,0.96,05:00:00
2024-12-18,CR-Fitchburg,Fitchburg Line,PEAK,6,9,0,10546,0.67,05:00:00
2024-12-19,CR-Fairmount,Fairmount Line,PEAK,14,14,0,10547,1.0,05:00:00
2024-12-18,CR-Franklin,Franklin Line,PEAK,5,8,0,10548,0.62,05:00:00
2024-12-19,CR-Fitchburg,Fitchburg Line,PEAK,9,9,0,10549,1.0,05:00:00
2024-12-18,CR-Greenbush,Greenbush Line,PEAK,6,6,0,10550,1.0,05:00:00
2024-12-19,CR-Franklin,Franklin Line,PEAK,8,8,0,10551,1.0,05:00:00
2024-12-18,CR-Needham,Needham Line,PEAK,4,8,0,10552,0.5,05:00:00
2024-12-19,CR-Greenbush,Greenbush Line,PEAK,5,6,0,10553,0.83,05:00:00
2024-12-19,CR-Needham,Needham Line,PEAK,7,8,0,10555,0.88,05:00:00
